questions,classes
拖欠薪资——本人在一家私人医院工作约1.5年，来的时候签了一份单式的甲方合同，并没有注明工资和绩效，工资和提成都是口头约定，从17年到如今一年多的时间，绩效都没发，现如今我从这家医院辞职，还要扣掉我两个月的所有钱,员工权益
工伤，陪护费谁出？——我的母亲今年1月份下班途中，发生交通事故，司机逃逸，交警认定肇事司机主责，我方次要责任，社保局认定为工伤。入院诊断为，股骨头粉碎性骨折，行内固定手术，住院2个月，出院后生活不能自理，需要陪护，请问一下，陪护费谁来出？（社保在广东中上买的）我们回河南老家，扔需要陪护的话，费用谁出？谢谢各位律师【本人在读研究生，父亲去年中风，弟弟初中，希望各位律师指点迷津】,工伤事故
我的编制被顶替——我是当地县交通局超限站一名职工，当时在省政府文件下进行了交通执法改革，在改革前我单位分流，退休了一批职工，还剩36名人员，在改前省政府，省交通厅下发文件，我单位35名编制名额，并交通厅文件规定单独核算，但县交通局领导却把不是我单位人员参加考试，并录取了四名人员，以我分数没考上为由变成了临时工，我上访一年多了，他又拿出交通局会议纪要搪塞我，领导班子决定。难到会议纪要比省级文件还有法律效力，明天信访局通知我去参加人大，编委等部门调查评议会，我对此没有报多大信心，败了怎么继续维权，请指教,辞退解雇
克扣工资成负数——老板自立公司扣款标准，把业绩达标设立的很高，未完成的话扣款很重，连续几个月工资都是负的，请问可以申请赔偿吗，需要收集哪些证据？,员工权益
私立学校要求扣押证件，在这种情况下辞职算违约吗？——你好，我是私立学校的一名老师，和学校签订了3年的劳动合同，合同约定，如果乙方单方面不遵守劳动合同，需要赔偿甲方培训费用的5到10倍，另处违约金3到5万。今年，我参加了教师公招老师，通过了笔试，但是并没有去面试。现在，学校以我参加了考试有失诚信嫌疑为理由要求我开学扣押证件，请问，在这种情况下我提出辞职算违约吗？如果算，违约金是否和合同约定的一样呢？,辞退解雇
老板骗我们辞职该怎么办！——我是某家具公司实习的，6月份刚签了2年的劳动合同，老板以公司破产为由，骗我们签自愿辞职书，虽然发放了拖欠的工资，但总感觉我们被骗了，因为公司根本没破产，只不过是骗我们自己辞职，我们该如何通过法来维护自正的正当权益。,辞退解雇
劳动仲裁——我在某公司做库管工作，已经工作了2年半了，今年七月四号人事找到我，说公司转型，库房外包，问我有驾照吗，想不想去天津一个合作方去上班，我没有驾照，也不想去天津，公司说那就让我投简历找工作，我一直工作到7月30号，8月份再也没有去公司，也没有办离职手续，14号人事打电话告诉我公司给我5000元，作为补偿，我没有同意，我在公司入职时只签了1年的合同，公司没有上社保，每月多给我500元，劳动合同在公司手里，我只能提供工资表，和最后一个月的打卡记录，像我这种情况申请劳动仲裁时，我应当主张哪些权利。,辞退解雇
孕妇被辞需争取合理的补偿——您好，律师朋友，我现在怀孕16周，入职三个月，已转正，面临被离职境遇。继续履行劳动合同已协商不成。赔偿现在单位只赔偿一个月的工资，其他都不给。我想了解一下我合法的补偿是什么和孕妇三期被辞的相关规定和赔偿,辞退解雇
劳动关系纠纷——为某商贸公司打工（货车司机），未签订劳动合同，半个月后受伤，有工友（短工，也未签劳动合同）的证明，押金票、货车缴费票等证据，请问劳动关系是否成立，能否认定工伤？,工伤事故
劳动仲裁委托问题——1.申请劳动仲裁有委托的是否一定要当面签署委托授权书？2.有委托的劳动仲裁开庭是否一定要当事人出庭？,维权方式
找工人建房出事故，房主负什么责任——农村找工人建棚子，工人穿拖鞋爬高摔倒，当地评定十级伤残，当地法院判我赔偿8万，负主要责任，我觉得不应该,工伤事故
劳动纠纷——劳动纠纷，本人做手机销售，三星授派综合卖场促销，近日因综合卖场以及卖场公司下本职外任务，完不成罚款产生纠纷。且说不交罚款为违反卖场及其公司规定，但入职3年具体细节不得知情。而且其店员经了解并未和该卖场及其公司签订合同，有的工作时长长达3年，也无合同。,员工权益
工资拖欠——本人于2017.9.1进入T公司实习，约定实习期限3个月，在我签名之后T公司以公司盖章为由拿走了两份合同，并至今未将另一份归还于我。后于2017.11.26，本人因无法胜任T公司职位主动提出辞职，T公司以本人票据未审核完全为由，不愿将实习期间工资发给我并找律师向我表达如不配合交接将采取法律途径。本人提出以下要求：一、合同其中一份归还于我；二、将本人工资结算给我；三、就票据交接一事进行书面约定。并将此三项要求写成书面告知函快递给T公司。T公司收到告知函后通知本人前去交接，但至交接结束也未提及告知函或满足告知函中的任一要求。此后，T公司至今未联系本人。后于2018.7本人向该公司所在地劳动机构申请调解，以失败告终。T公司于之后联系我，要求我签署一份协议，其中要求我无条件配合T公司的票据审核，请问此要求是否合理。,员工权益
兼职劳动纠纷——我在暑假期间找了一份兼职，谈工资的时候老板说是50元每天，只说了是发传单。实际工作之后我觉得工作量和工资不成正比，发传单要坐车去乡下发，下雨了就去小区里发，从早上一直到下午6点。我工作满一天之后便不想接着做下去了，便去像老板索要今天的工资，老板以我自行离职为理由不给我发工资。我们之间并未签订正式的劳动合同，请问有什么办法维权吗？,辞退解雇
劳动争议解决方法——对于用人单位的行政开除处分，是否可以向上级单位提出行政复议或者信访申诉，还是只能提请劳动仲裁？用人单位是否应该履行告知义务？,维权方式
劳动合同纠纷——工作6个月未签订劳动合同，在职期间拖欠工资，离职后公司拒绝付清拖欠工资！,辞退解雇
小包工的苦——律师你好我是在义乌做电焊的小包工，2017年4月份，一个朋友让我去他工地上做电焊工程（装修），开始是口头上说多少一平方的，工地做完了（我们完工是10月份），期间给了我7万生活费，（有1万是甲方给的，乙方说甲方没有给他，我们停工了，甲方回来给的），工地完工了，我们去要工资，乙方说甲方没有给钱，没办法，让我们等，我们一直等到年底都没有给，后来乙方带我们一起去找甲方，甲方和我们讨价还价谈了3次，谈好了13万（实际是20万多一点），我说13万给我工人工资可以付到80%，我也接受，因为年底了大家都要过年，结果甲方说我给乙方钱够了，他不管，但是电工，泥水工，小工的工资甲方说他给，后来我们到社区去投诉，街道劳保所，街道司法所都去了调解不了，今年我又去找劳保所，司法所，还在浙江政务上面投诉，结果劳动监察打电话过来，让我去一下，就做了笔录，说我是承包的他们没办法管理的，请问一下可以帮忙解决一下吗？,员工权益
